vfatId,vfatCh,iEta,strip
2,0,1,320
2,1,2,320
2,2,1,319
2,3,2,319
2,4,1,318
2,5,2,318
2,6,1,317
2,7,2,317
2,8,1,316
2,9,2,316
2,10,1,315
2,11,2,315
2,12,1,314
2,13,2,314
2,14,1,313
2,15,2,313
2,16,1,312
2,17,2,312
2,18,1,311
2,19,2,311
2,20,1,310
2,21,2,310
2,22,1,309
2,23,2,309
2,24,1,308
2,25,2,308
2,26,1,307
2,27,2,307
2,28,1,306
2,29,2,306
2,30,1,305
2,31,2,305
2,32,1,304
2,33,2,304
2,34,1,303
2,35,2,303
2,36,1,302
2,37,2,302
2,38,1,301
2,39,2,301
2,40,1,300
2,41,2,300
2,42,1,299
2,43,2,299
2,44,1,298
2,45,2,298
2,46,1,297
2,47,2,297
2,48,1,296
2,49,2,296
2,50,1,295
2,51,2,295
2,52,1,294
2,53,2,294
2,54,1,293
2,55,2,293
2,56,1,292
2,57,2,292
2,58,1,291
2,59,2,291
2,60,1,290
2,61,2,290
2,62,1,289
2,63,2,289
2,64,1,288
2,65,2,288
2,66,1,287
2,67,2,287
2,68,1,286
2,69,2,286
2,70,1,285
2,71,2,285
2,72,1,284
2,73,2,284
2,74,1,283
2,75,2,283
2,76,1,282
2,77,2,282
2,78,1,281
2,79,2,281
2,80,1,280
2,81,2,280
2,82,1,279
2,83,2,279
2,84,1,278
2,85,2,278
2,86,1,277
2,87,2,277
2,88,1,276
2,89,2,276
2,90,1,275
2,91,2,275
2,92,1,274
2,93,2,274
2,94,1,273
2,95,2,273
2,96,1,272
2,97,2,272
2,98,1,271
2,99,2,271
2,100,1,270
2,101,2,270
2,102,1,269
2,103,2,269
2,104,1,268
2,105,2,268
2,106,1,267
2,107,2,267
2,108,1,266
2,109,2,266
2,110,1,265
2,111,2,265
2,112,1,264
2,113,2,264
2,114,1,263
2,115,2,263
2,116,1,262
2,117,2,262
2,118,1,261
2,119,2,261
2,120,1,260
2,121,2,260
2,122,1,259
2,123,2,259
2,124,1,258
2,125,2,258
2,126,1,257
2,127,2,257
0,0,1,384
0,1,2,384
0,2,1,383
0,3,2,383
0,4,1,382
0,5,2,382
0,6,1,381
0,7,2,381
0,8,1,380
0,9,2,380
0,10,1,379
0,11,2,379
0,12,1,378
0,13,2,378
0,14,1,377
0,15,2,377
0,16,1,376
0,17,2,376
0,18,1,375
0,19,2,375
0,20,1,374
0,21,2,374
0,22,1,373
0,23,2,373
0,24,1,372
0,25,2,372
0,26,1,371
0,27,2,371
0,28,1,370
0,29,2,370
0,30,1,369
0,31,2,369
0,32,1,368
0,33,2,368
0,34,1,367
0,35,2,367
0,36,1,366
0,37,2,366
0,38,1,365
0,39,2,365
0,40,1,364
0,41,2,364
0,42,1,363
0,43,2,363
0,44,1,362
0,45,2,362
0,46,1,361
0,47,2,361
0,48,1,360
0,49,2,360
0,50,1,359
0,51,2,359
0,52,1,358
0,53,2,358
0,54,1,357
0,55,2,357
0,56,1,356
0,57,2,356
0,58,1,355
0,59,2,355
0,60,1,354
0,61,2,354
0,62,1,353
0,63,2,353
0,64,1,352
0,65,2,352
0,66,1,351
0,67,2,351
0,68,1,350
0,69,2,350
0,70,1,349
0,71,2,349
0,72,1,348
0,73,2,348
0,74,1,347
0,75,2,347
0,76,1,346
0,77,2,346
0,78,1,345
0,79,2,345
0,80,1,344
0,81,2,344
0,82,1,343
0,83,2,343
0,84,1,342
0,85,2,342
0,86,1,341
0,87,2,341
0,88,1,340
0,89,2,340
0,90,1,339
0,91,2,339
0,92,1,338
0,93,2,338
0,94,1,337
0,95,2,337
0,96,1,336
0,97,2,336
0,98,1,335
0,99,2,335
0,100,1,334
0,101,2,334
0,102,1,333
0,103,2,333
0,104,1,332
0,105,2,332
0,106,1,331
0,107,2,331
0,108,1,330
0,109,2,330
0,110,1,329
0,111,2,329
0,112,1,328
0,113,2,328
0,114,1,327
0,115,2,327
0,116,1,326
0,117,2,326
0,118,1,325
0,119,2,325
0,120,1,324
0,121,2,324
0,122,1,323
0,123,2,323
0,124,1,322
0,125,2,322
0,126,1,321
0,127,2,321
4,0,1,256
4,1,2,256
4,2,1,255
4,3,2,255
4,4,1,254
4,5,2,254
4,6,1,253
4,7,2,253
4,8,1,252
4,9,2,252
4,10,1,251
4,11,2,251
4,12,1,250
4,13,2,250
4,14,1,249
4,15,2,249
4,16,1,248
4,17,2,248
4,18,1,247
4,19,2,247
4,20,1,246
4,21,2,246
4,22,1,245
4,23,2,245
4,24,1,244
4,25,2,244
4,26,1,243
4,27,2,243
4,28,1,242
4,29,2,242
4,30,1,241
4,31,2,241
4,32,1,240
4,33,2,240
4,34,1,239
4,35,2,239
4,36,1,238
4,37,2,238
4,38,1,237
4,39,2,237
4,40,1,236
4,41,2,236
4,42,1,235
4,43,2,235
4,44,1,234
4,45,2,234
4,46,1,233
4,47,2,233
4,48,1,232
4,49,2,232
4,50,1,231
4,51,2,231
4,52,1,230
4,53,2,230
4,54,1,229
4,55,2,229
4,56,1,228
4,57,2,228
4,58,1,227
4,59,2,227
4,60,1,226
4,61,2,226
4,62,1,225
4,63,2,225
4,64,1,224
4,65,2,224
4,66,1,223
4,67,2,223
4,68,1,222
4,69,2,222
4,70,1,221
4,71,2,221
4,72,1,220
4,73,2,220
4,74,1,219
4,75,2,219
4,76,1,218
4,77,2,218
4,78,1,217
4,79,2,217
4,80,1,216
4,81,2,216
4,82,1,215
4,83,2,215
4,84,1,214
4,85,2,214
4,86,1,213
4,87,2,213
4,88,1,212
4,89,2,212
4,90,1,211
4,91,2,211
4,92,1,210
4,93,2,210
4,94,1,209
4,95,2,209
4,96,1,208
4,97,2,208
4,98,1,207
4,99,2,207
4,100,1,206
4,101,2,206
4,102,1,205
4,103,2,205
4,104,1,204
4,105,2,204
4,106,1,203
4,107,2,203
4,108,1,202
4,109,2,202
4,110,1,201
4,111,2,201
4,112,1,200
4,113,2,200
4,114,1,199
4,115,2,199
4,116,1,198
4,117,2,198
4,118,1,197
4,119,2,197
4,120,1,196
4,121,2,196
4,122,1,195
4,123,2,195
4,124,1,194
4,125,2,194
4,126,1,193
4,127,2,193
10,0,1,064
10,1,2,064
10,2,1,063
10,3,2,063
10,4,1,062
10,5,2,062
10,6,1,061
10,7,2,061
10,8,1,060
10,9,2,060
10,10,1,059
10,11,2,059
10,12,1,058
10,13,2,058
10,14,1,057
10,15,2,057
10,16,1,056
10,17,2,056
10,18,1,055
10,19,2,055
10,20,1,054
10,21,2,054
10,22,1,053
10,23,2,053
10,24,1,052
10,25,2,052
10,26,1,051
10,27,2,051
10,28,1,050
10,29,2,050
10,30,1,049
10,31,2,049
10,32,1,048
10,33,2,048
10,34,1,047
10,35,2,047
10,36,1,046
10,37,2,046
10,38,1,045
10,39,2,045
10,40,1,044
10,41,2,044
10,42,1,043
10,43,2,043
10,44,1,042
10,45,2,042
10,46,1,041
10,47,2,041
10,48,1,040
10,49,2,040
10,50,1,039
10,51,2,039
10,52,1,038
10,53,2,038
10,54,1,037
10,55,2,037
10,56,1,036
10,57,2,036
10,58,1,035
10,59,2,035
10,60,1,034
10,61,2,034
10,62,1,033
10,63,2,033
10,64,1,032
10,65,2,032
10,66,1,031
10,67,2,031
10,68,1,030
10,69,2,030
10,70,1,029
10,71,2,029
10,72,1,028
10,73,2,028
10,74,1,027
10,75,2,027
10,76,1,026
10,77,2,026
10,78,1,025
10,79,2,025
10,80,1,024
10,81,2,024
10,82,1,023
10,83,2,023
10,84,1,022
10,85,2,022
10,86,1,021
10,87,2,021
10,88,1,020
10,89,2,020
10,90,1,019
10,91,2,019
10,92,1,018
10,93,2,018
10,94,1,017
10,95,2,017
10,96,1,016
10,97,2,016
10,98,1,015
10,99,2,015
10,100,1,014
10,101,2,014
10,102,1,013
10,103,2,013
10,104,1,012
10,105,2,012
10,106,1,011
10,107,2,011
10,108,1,010
10,109,2,010
10,110,1,009
10,111,2,009
10,112,1,008
10,113,2,008
10,114,1,007
10,115,2,007
10,116,1,006
10,117,2,006
10,118,1,005
10,119,2,005
10,120,1,004
10,121,2,004
10,122,1,003
10,123,2,003
10,124,1,002
10,125,2,002
10,126,1,001
10,127,2,001
6,0,1,192
6,1,2,192
6,2,1,191
6,3,2,191
6,4,1,190
6,5,2,190
6,6,1,189
6,7,2,189
6,8,1,188
6,9,2,188
6,10,1,187
6,11,2,187
6,12,1,186
6,13,2,186
6,14,1,185
6,15,2,185
6,16,1,184
6,17,2,184
6,18,1,183
6,19,2,183
6,20,1,182
6,21,2,182
6,22,1,181
6,23,2,181
6,24,1,180
6,25,2,180
6,26,1,179
6,27,2,179
6,28,1,178
6,29,2,178
6,30,1,177
6,31,2,177
6,32,1,176
6,33,2,176
6,34,1,175
6,35,2,175
6,36,1,174
6,37,2,174
6,38,1,173
6,39,2,173
6,40,1,172
6,41,2,172
6,42,1,171
6,43,2,171
6,44,1,170
6,45,2,170
6,46,1,169
6,47,2,169
6,48,1,168
6,49,2,168
6,50,1,167
6,51,2,167
6,52,1,166
6,53,2,166
6,54,1,165
6,55,2,165
6,56,1,164
6,57,2,164
6,58,1,163
6,59,2,163
6,60,1,162
6,61,2,162
6,62,1,161
6,63,2,161
6,64,1,160
6,65,2,160
6,66,1,159
6,67,2,159
