oh,vfatId,vfatCh,iEta,strip,chamber
0,2,0,1,320,4
0,2,1,2,320,4
0,2,2,1,319,4
0,2,3,2,319,4
0,2,4,1,318,4
0,2,5,2,318,4
0,2,6,1,317,4
0,2,7,2,317,4
0,2,8,1,316,4
0,2,9,2,316,4
0,2,10,1,315,4
0,2,11,2,315,4
0,2,12,1,314,4
0,2,13,2,314,4
0,2,14,1,313,4
0,2,15,2,313,4
0,2,16,1,312,4
0,2,17,2,312,4
0,2,18,1,311,4
0,2,19,2,311,4
0,2,20,1,310,4
0,2,21,2,310,4
0,2,22,1,309,4
0,2,23,2,309,4
0,2,24,1,308,4
0,2,25,2,308,4
0,2,26,1,307,4
0,2,27,2,307,4
0,2,28,1,306,4
0,2,29,2,306,4
0,2,30,1,305,4
0,2,31,2,305,4
0,2,32,1,304,4
0,2,33,2,304,4
0,2,34,1,303,4
0,2,35,2,303,4
0,2,36,1,302,4
0,2,37,2,302,4
0,2,38,1,301,4
0,2,39,2,301,4
0,2,40,1,300,4
0,2,41,2,300,4
0,2,42,1,299,4
0,2,43,2,299,4
0,2,44,1,298,4
0,2,45,2,298,4
0,2,46,1,297,4
0,2,47,2,297,4
0,2,48,1,296,4
0,2,49,2,296,4
0,2,50,1,295,4
0,2,51,2,295,4
0,2,52,1,294,4
0,2,53,2,294,4
0,2,54,1,293,4
0,2,55,2,293,4
0,2,56,1,292,4
0,2,57,2,292,4
0,2,58,1,291,4
0,2,59,2,291,4
0,2,60,1,290,4
0,2,61,2,290,4
0,2,62,1,289,4
0,2,63,2,289,4
0,2,64,1,288,4
0,2,65,2,288,4
0,2,66,1,287,4
0,2,67,2,287,4
0,2,68,1,286,4
0,2,69,2,286,4
0,2,70,1,285,4
0,2,71,2,285,4
0,2,72,1,284,4
0,2,73,2,284,4
0,2,74,1,283,4
0,2,75,2,283,4
0,2,76,1,282,4
0,2,77,2,282,4
0,2,78,1,281,4
0,2,79,2,281,4
0,2,80,1,280,4
0,2,81,2,280,4
0,2,82,1,279,4
0,2,83,2,279,4
0,2,84,1,278,4
0,2,85,2,278,4
0,2,86,1,277,4
0,2,87,2,277,4
0,2,88,1,276,4
0,2,89,2,276,4
0,2,90,1,275,4
0,2,91,2,275,4
0,2,92,1,274,4
0,2,93,2,274,4
0,2,94,1,273,4
0,2,95,2,273,4
0,2,96,1,272,4
0,2,97,2,272,4
0,2,98,1,271,4
0,2,99,2,271,4
0,2,100,1,270,4
0,2,101,2,270,4
0,2,102,1,269,4
0,2,103,2,269,4
0,2,104,1,268,4
0,2,105,2,268,4
0,2,106,1,267,4
0,2,107,2,267,4
0,2,108,1,266,4
0,2,109,2,266,4
0,2,110,1,265,4
0,2,111,2,265,4
0,2,112,1,264,4
0,2,113,2,264,4
0,2,114,1,263,4
0,2,115,2,263,4
0,2,116,1,262,4
0,2,117,2,262,4
0,2,118,1,261,4
0,2,119,2,261,4
0,2,120,1,260,4
0,2,121,2,260,4
0,2,122,1,259,4
0,2,123,2,259,4
0,2,124,1,258,4
0,2,125,2,258,4
0,2,126,1,257,4
0,2,127,2,257,4
0,0,0,1,384,4
0,0,1,2,384,4
0,0,2,1,383,4
0,0,3,2,383,4
0,0,4,1,382,4
0,0,5,2,382,4
0,0,6,1,381,4
0,0,7,2,381,4
0,0,8,1,380,4
0,0,9,2,380,4
0,0,10,1,379,4
0,0,11,2,379,4
0,0,12,1,378,4
0,0,13,2,378,4
0,0,14,1,377,4
0,0,15,2,377,4
0,0,16,1,376,4
0,0,17,2,376,4
0,0,18,1,375,4
0,0,19,2,375,4
0,0,20,1,374,4
0,0,21,2,374,4
0,0,22,1,373,4
0,0,23,2,373,4
0,0,24,1,372,4
0,0,25,2,372,4
0,0,26,1,371,4
0,0,27,2,371,4
0,0,28,1,370,4
0,0,29,2,370,4
0,0,30,1,369,4
0,0,31,2,369,4
0,0,32,1,368,4
0,0,33,2,368,4
0,0,34,1,367,4
0,0,35,2,367,4
0,0,36,1,366,4
0,0,37,2,366,4
0,0,38,1,365,4
0,0,39,2,365,4
0,0,40,1,364,4
0,0,41,2,364,4
0,0,42,1,363,4
0,0,43,2,363,4
0,0,44,1,362,4
0,0,45,2,362,4
0,0,46,1,361,4
0,0,47,2,361,4
0,0,48,1,360,4
0,0,49,2,360,4
0,0,50,1,359,4
0,0,51,2,359,4
0,0,52,1,358,4
0,0,53,2,358,4
0,0,54,1,357,4
0,0,55,2,357,4
0,0,56,1,356,4
0,0,57,2,356,4
0,0,58,1,355,4
0,0,59,2,355,4
0,0,60,1,354,4
0,0,61,2,354,4
0,0,62,1,353,4
0,0,63,2,353,4
0,0,64,1,352,4
0,0,65,2,352,4
0,0,66,1,351,4
0,0,67,2,351,4
0,0,68,1,350,4
0,0,69,2,350,4
0,0,70,1,349,4
0,0,71,2,349,4
0,0,72,1,348,4
0,0,73,2,348,4
0,0,74,1,347,4
0,0,75,2,347,4
0,0,76,1,346,4
0,0,77,2,346,4
0,0,78,1,345,4
0,0,79,2,345,4
0,0,80,1,344,4
0,0,81,2,344,4
0,0,82,1,343,4
0,0,83,2,343,4
0,0,84,1,342,4
0,0,85,2,342,4
0,0,86,1,341,4
0,0,87,2,341,4
0,0,88,1,340,4
0,0,89,2,340,4
0,0,90,1,339,4
0,0,91,2,339,4
0,0,92,1,338,4
0,0,93,2,338,4
0,0,94,1,337,4
0,0,95,2,337,4
0,0,96,1,336,4
0,0,97,2,336,4
0,0,98,1,335,4
0,0,99,2,335,4
0,0,100,1,334,4
0,0,101,2,334,4
0,0,102,1,333,4
0,0,103,2,333,4
0,0,104,1,332,4
0,0,105,2,332,4
0,0,106,1,331,4
0,0,107,2,331,4
0,0,108,1,330,4
0,0,109,2,330,4
0,0,110,1,329,4
0,0,111,2,329,4
0,0,112,1,328,4
0,0,113,2,328,4
0,0,114,1,327,4
0,0,115,2,327,4
0,0,116,1,326,4
0,0,117,2,326,4
0,0,118,1,325,4
0,0,119,2,325,4
0,0,120,1,324,4
0,0,121,2,324,4
0,0,122,1,323,4
0,0,123,2,323,4
0,0,124,1,322,4
0,0,125,2,322,4
0,0,126,1,321,4
0,0,127,2,321,4
0,4,0,1,256,4
0,4,1,2,256,4
0,4,2,1,255,4
0,4,3,2,255,4
0,4,4,1,254,4
0,4,5,2,254,4
0,4,6,1,253,4
0,4,7,2,253,4
0,4,8,1,252,4
0,4,9,2,252,4
0,4,10,1,251,4
0,4,11,2,251,4
0,4,12,1,250,4
0,4,13,2,250,4
0,4,14,1,249,4
0,4,15,2,249,4
0,4,16,1,248,4
0,4,17,2,248,4
0,4,18,1,247,4
0,4,19,2,247,4
0,4,20,1,246,4
0,4,21,2,246,4
0,4,22,1,245,4
0,4,23,2,245,4
0,4,24,1,244,4
0,4,25,2,244,4
0,4,26,1,243,4
0,4,27,2,243,4
0,4,28,1,242,4
0,4,29,2,242,4
0,4,30,1,241,4
0,4,31,2,241,4
0,4,32,1,240,4
0,4,33,2,240,4
0,4,34,1,239,4
0,4,35,2,239,4
0,4,36,1,238,4
0,4,37,2,238,4
0,4,38,1,237,4
0,4,39,2,237,4
0,4,40,1,236,4
0,4,41,2,236,4
0,4,42,1,235,4
0,4,43,2,235,4
0,4,44,1,234,4
0,4,45,2,234,4
0,4,46,1,233,4
0,4,47,2,233,4
0,4,48,1,232,4
0,4,49,2,232,4
0,4,50,1,231,4
0,4,51,2,231,4
0,4,52,1,230,4
0,4,53,2,230,4
0,4,54,1,229,4
0,4,55,2,229,4
0,4,56,1,228,4
0,4,57,2,228,4
0,4,58,1,227,4
0,4,59,2,227,4
0,4,60,1,226,4
0,4,61,2,226,4
0,4,62,1,225,4
0,4,63,2,225,4
0,4,64,1,224,4
0,4,65,2,224,4
0,4,66,1,223,4
0,4,67,2,223,4
0,4,68,1,222,4
0,4,69,2,222,4
0,4,70,1,221,4
0,4,71,2,221,4
0,4,72,1,220,4
0,4,73,2,220,4
0,4,74,1,219,4
0,4,75,2,219,4
0,4,76,1,218,4
0,4,77,2,218,4
0,4,78,1,217,4
0,4,79,2,217,4
0,4,80,1,216,4
0,4,81,2,216,4
0,4,82,1,215,4
0,4,83,2,215,4
0,4,84,1,214,4
0,4,85,2,214,4
0,4,86,1,213,4
0,4,87,2,213,4
0,4,88,1,212,4
0,4,89,2,212,4
0,4,90,1,211,4
0,4,91,2,211,4
0,4,92,1,210,4
0,4,93,2,210,4
0,4,94,1,209,4
0,4,95,2,209,4
0,4,96,1,208,4
0,4,97,2,208,4
0,4,98,1,207,4
0,4,99,2,207,4
0,4,100,1,206,4
0,4,101,2,206,4
0,4,102,1,205,4
0,4,103,2,205,4
0,4,104,1,204,4
0,4,105,2,204,4
0,4,106,1,203,4
0,4,107,2,203,4
0,4,108,1,202,4
0,4,109,2,202,4
0,4,110,1,201,4
0,4,111,2,201,4
0,4,112,1,200,4
0,4,113,2,200,4
0,4,114,1,199,4
0,4,115,2,199,4
0,4,116,1,198,4
0,4,117,2,198,4
0,4,118,1,197,4
0,4,119,2,197,4
0,4,120,1,196,4
0,4,121,2,196,4
0,4,122,1,195,4
0,4,123,2,195,4
0,4,124,1,194,4
0,4,125,2,194,4
0,4,126,1,193,4
0,4,127,2,193,4
0,10,0,1,064,4
0,10,1,2,064,4
0,10,2,1,063,4
0,10,3,2,063,4
0,10,4,1,062,4
