vfatId,vfatCh,iEta,strip
0,0,3,147
0,1,3,146
0,2,3,148
0,3,3,149
0,4,3,145
0,5,3,144
0,6,3,150
0,7,3,151
0,8,3,143
0,9,3,142
0,10,3,152
0,11,3,153
0,12,3,141
0,13,3,140
0,14,3,154
0,15,3,155
0,16,3,139
0,17,3,138
0,18,3,156
0,19,3,157
0,20,3,137
0,21,3,136
0,22,3,158
0,23,3,159
0,24,3,135
0,25,3,134
0,26,3,160
0,27,3,161
0,28,3,133
0,29,3,132
0,30,3,163
0,31,3,162
0,32,3,131
0,33,3,130
0,34,3,164
0,35,3,165
0,36,3,129
0,37,3,128
0,38,3,166
0,39,3,167
0,40,3,127
0,41,3,126
0,42,3,168
0,43,3,169
0,44,3,125
0,45,3,124
0,46,3,170
0,47,3,171
0,48,3,123
0,49,0,49
0,50,3,172
0,51,3,173
0,52,0,52
0,53,0,53
0,54,3,174
0,55,3,175
0,56,0,56
0,57,0,57
0,58,3,176
0,59,3,177
0,60,0,60
0,61,0,61
0,62,3,178
0,63,3,179
0,64,0,64
0,65,0,65
0,66,3,180
0,67,3,181
0,68,0,68
0,69,0,69
0,70,3,182
0,71,3,183
0,72,0,72
0,73,0,73
0,74,3,184
0,75,3,185
0,76,0,76
0,77,3,236
0,78,3,186
0,79,3,187
0,80,3,235
0,81,3,234
0,82,3,188
0,83,3,189
0,84,3,233
0,85,3,232
0,86,3,190
0,87,3,191
0,88,3,231
0,89,3,230
0,90,3,192
0,91,3,193
0,92,3,229
0,93,3,228
0,94,3,194
0,95,3,195
0,96,3,227
0,97,3,226
0,98,3,196
0,99,3,197
0,100,3,225
0,101,3,224
0,102,3,198
0,103,3,199
0,104,3,223
0,105,3,222
0,106,3,200
0,107,3,201
0,108,3,221
0,109,3,220
0,110,3,203
0,111,3,202
0,112,3,219
0,113,3,218
0,114,3,205
0,115,3,204
0,116,3,217
0,117,3,216
0,118,3,207
0,119,3,206
0,120,3,215
0,121,3,214
0,122,3,209
0,123,3,208
0,124,3,213
0,125,3,212
0,126,3,211
0,127,3,210
1,0,3,262
1,1,3,261
1,2,3,263
1,3,3,264
1,4,3,260
1,5,3,259
1,6,3,265
1,7,3,266
1,8,3,258
1,9,3,257
1,10,3,267
1,11,3,268
1,12,3,256
1,13,3,255
1,14,3,269
1,15,3,270
1,16,3,254
1,17,3,253
1,18,3,271
1,19,3,272
1,20,3,252
1,21,3,251
1,22,3,273
1,23,3,274
1,24,3,250
1,25,3,249
1,26,3,275
1,27,3,276
1,28,3,248
1,29,3,247
1,30,3,278
1,31,3,277
1,32,3,246
1,33,3,245
1,34,3,279
1,35,3,280
1,36,3,244
1,37,3,243
1,38,3,281
1,39,3,282
1,40,3,242
1,41,3,241
1,42,3,283
1,43,3,284
1,44,3,240
1,45,3,239
1,46,3,285
1,47,3,286
1,48,3,238
1,49,3,237
1,50,3,287
1,51,3,288
1,52,0,52
1,53,0,53
1,54,3,289
1,55,3,290
1,56,0,56
1,57,0,57
1,58,3,291
1,59,3,292
1,60,0,60
1,61,0,61
1,62,3,293
1,63,3,294
1,64,3,358
1,65,3,357
1,66,3,295
1,67,3,296
1,68,3,356
1,69,3,355
1,70,3,297
1,71,3,298
1,72,3,354
1,73,3,353
1,74,3,299
1,75,3,300
1,76,3,352
1,77,3,351
1,78,3,301
1,79,3,302
1,80,3,350
1,81,3,349
1,82,3,303
1,83,3,304
1,84,3,348
1,85,3,347
1,86,3,305
1,87,3,306
1,88,3,346
1,89,3,345
1,90,3,307
1,91,3,308
1,92,3,344
1,93,3,343
1,94,3,309
1,95,3,310
1,96,3,342
1,97,3,341
1,98,3,311
1,99,3,312
1,100,3,340
1,101,3,339
1,102,3,313
1,103,3,314
1,104,3,338
1,105,3,337
1,106,3,315
1,107,3,316
1,108,3,336
1,109,3,335
1,110,3,318
1,111,3,317
1,112,3,334
1,113,3,333
1,114,3,320
1,115,3,319
1,116,3,332
1,117,3,331
1,118,3,322
1,119,3,321
1,120,3,330
1,121,3,329
1,122,3,324
1,123,3,323
1,124,3,328
1,125,3,327
1,126,3,326
1,127,3,325
2,0,3,32
2,1,3,31
2,2,3,33
2,3,3,34
2,4,3,30
2,5,3,29
2,6,3,35
2,7,3,36
2,8,3,28
2,9,3,27
2,10,3,37
2,11,3,38
2,12,3,26
2,13,3,25
2,14,3,39
2,15,3,40
2,16,3,24
2,17,3,23
2,18,3,41
2,19,3,42
2,20,3,22
2,21,3,21
2,22,3,43
2,23,3,44
2,24,3,20
2,25,3,19
2,26,3,45
2,27,3,46
2,28,3,18
2,29,3,17
2,30,3,48
2,31,3,47
2,32,3,16
2,33,3,15
2,34,3,49
2,35,3,50
2,36,3,14
2,37,3,13
2,38,3,51
2,39,3,52
2,40,3,12
2,41,3,11
2,42,3,53
2,43,3,54
2,44,3,10
2,45,3,9
2,46,3,55
2,47,3,56
2,48,3,8
2,49,3,7
2,50,3,57
2,51,3,58
2,52,3,6
2,53,3,5
2,54,3,59
2,55,3,60
2,56,3,4
2,57,3,3
2,58,3,61
2,59,3,62
2,60,3,2
2,61,3,1
2,62,3,63
2,63,3,64
2,64,0,64
2,65,0,65
2,66,3,65
2,67,3,66
2,68,0,68
2,69,0,69
2,70,3,67
2,71,3,68
2,72,0,72
2,73,0,73
2,74,3,69
2,75,3,70
2,76,3,122
2,77,3,121
2,78,3,71
2,79,3,72
2,80,3,120
2,81,3,119
2,82,3,73
2,83,3,74
2,84,3,118
2,85,3,117
2,86,3,75
2,87,3,76
2,88,3,116
2,89,3,115
2,90,3,77
2,91,3,78
2,92,3,114
2,93,3,113
2,94,3,79
2,95,3,80
2,96,3,112
2,97,3,111
2,98,3,81
2,99,3,82
2,100,3,110
2,101,3,109
2,102,3,83
2,103,3,84
2,104,3,108
2,105,3,107
2,106,3,85
2,107,3,86
2,108,3,106
2,109,3,105
2,110,3,88
2,111,3,87
2,112,3,104
2,113,3,103
2,114,3,90
2,115,3,89
2,116,3,102
2,117,3,101
2,118,3,92
2,119,3,91
2,120,3,100
2,121,3,99
2,122,3,94
2,123,3,93
2,124,3,98
2,125,3,97
2,126,3,96
2,127,3,95
3,0,4,262
3,1,4,261
3,2,4,263
3,3,4,264
3,4,4,260
3,5,4,259
3,6,4,265
3,7,4,266
3,8,4,258
3,9,4,257
3,10,4,267
3,11,4,268
3,12,4,256
3,13,4,255
3,14,4,269
3,15,4,270
3,16,4,254
3,17,4,253
3,18,4,271
3,19,4,272
3,20,4,252
3,21,4,251
3,22,4,273
3,23,4,274
3,24,4,250
3,25,4,249
3,26,4,275
3,27,4,276
3,28,4,248
3,29,4,247
3,30,4,278
3,31,4,277
3,32,4,246
3,33,4,245
3,34,4,279
3,35,4,280
3,36,4,244
3,37,4,243
3,38,4,281
3,39,4,282
3,40,4,242
3,41,4,241
3,42,4,283
3,43,4,284
3,44,4,240
3,45,4,239
3,46,4,285
3,47,4,286
3,48,4,238
3,49,4,237
3,50,4,287
3,51,4,288
3,52,0,52
3,53,0,53
3,54,4,289
3,55,4,290
3,56,0,56
3,57,0,57
3,58,4,291
3,59,4,292
3,60,0,60
3,61,0,61
3,62,4,293
3,63,4,294
3,64,4,358
3,65,4,357
3,66,4,295
3,67,4,296
3,68,4,356
3,69,4,355
3,70,4,297
3,71,4,298
3,72,4,354
3,73,4,353
3,74,4,299
3,75,4,300
3,76,4,352
3,77,4,351
3,78,4,301
3,79,4,302
3,80,4,350
3,81,4,349
3,82,4,303
3,83,4,304
3,84,4,348
3,85,4,347
3,86,4,305
3,87,4,306
3,88,4,346
3,89,4,345
3,90,4,307
3,91,4,308
3,92,4,344
3,93,4,343
3,94,4,309
3,95,4,310
3,96,4,342
3,97,4,341
3,98,4,311
3,99,4,312
3,100,4,340
3,101,4,339
3,102,4,313
3,103,4,314
3,104,4,338
3,105,4,337
3,106,4,315
3,107,4,316
3,108,4,336
3,109,4,335
3,110,4,318
3,111,4,317
3,112,4,334
3,113,4,333
3,114,4,320
3,115,4,319
3,116,4,332
3,117,4,331
3,118,4,322
3,119,4,321
3,120,4,330
3,121,4,329
3,122,4,324
3,123,4,323
3,124,4,328
3,125,4,327
3,126,4,326
3,127,4,325
4,0,2,32
4,1,2,31
4,2,2,33
4,3,2,34
4,4,2,30
4,5,2,29
4,6,2,35
4,7,2,36
4,8,2,28
4,9,2,27
4,10,2,37
4,11,2,38
4,12,2,26
4,13,2,25
4,14,2,39
4,15,2,40
4,16,2,24
4,17,2,23
4,18,2,41
4,19,2,42
4,20,2,22
4,21,2,21
4,22,2,43
4,23,2,44
4,24,2,20
4,25,2,19
