vfatId,vfatCh,iEta,strip
23,0,1,255
23,1,1,351
23,2,1,255
23,3,1,350
23,4,1,255
23,5,1,349
23,6,1,255
23,7,1,348
23,8,1,352
23,9,1,347
23,10,1,353
23,11,1,346
23,12,1,354
23,13,1,345
23,14,1,355
23,15,1,344
23,16,1,356
23,17,1,343
23,18,1,357
23,19,1,342
23,20,1,358
23,21,1,341
23,22,1,359
23,23,1,340
23,24,1,360
23,25,1,339
23,26,1,361
23,27,1,338
23,28,1,362
23,29,1,337
23,30,1,363
23,31,1,336
23,32,1,364
23,33,1,335
23,34,1,365
23,35,1,334
23,36,1,366
23,37,1,333
23,38,1,367
23,39,1,332
23,40,1,368
23,41,1,331
23,42,1,369
23,43,1,330
23,44,1,255
23,45,1,329
23,46,1,370
23,47,1,328
23,48,1,371
23,49,1,327
23,50,1,372
23,51,1,326
23,52,1,373
23,53,1,325
23,54,1,374
23,55,1,324
23,56,1,375
23,57,1,323
23,58,1,376
23,59,1,322
23,60,1,377
23,61,1,321
23,62,1,378
23,63,1,320
23,64,1,256
23,65,1,319
23,66,1,257
23,67,1,318
23,68,1,258
23,69,1,317
23,70,1,259
23,71,1,316
23,72,1,260
23,73,1,315
23,74,1,261
23,75,1,314
23,76,1,262
23,77,1,313
23,78,1,263
23,79,1,312
23,80,1,264
23,81,1,311
23,82,1,265
23,83,1,310
23,84,1,266
23,85,1,309
23,86,1,267
23,87,1,308
23,88,1,268
23,89,1,307
23,90,1,269
23,91,1,306
23,92,1,270
23,93,1,305
23,94,1,271
23,95,1,304
23,96,1,272
23,97,1,303
23,98,1,273
23,99,1,302
23,100,1,274
23,101,1,301
23,102,1,275
23,103,1,300
23,104,1,276
23,105,1,299
23,106,1,277
23,107,1,298
23,108,1,278
23,109,1,297
23,110,1,279
23,111,1,296
23,112,1,280
23,113,1,295
23,114,1,281
23,115,1,294
23,116,1,282
23,117,1,293
23,118,1,283
23,119,1,292
23,120,1,284
23,121,1,291
23,122,1,285
23,123,1,290
23,124,1,286
23,125,1,289
23,126,1,287
23,127,1,288
22,0,2,352
22,1,2,351
22,2,2,353
22,3,2,350
22,4,2,354
22,5,2,349
22,6,2,355
22,7,2,348
22,8,2,356
22,9,2,347
22,10,2,357
22,11,2,346
22,12,2,358
22,13,2,345
22,14,2,359
22,15,2,344
22,16,2,360
22,17,2,343
22,18,2,361
22,19,2,342
22,20,2,362
22,21,2,341
22,22,2,363
22,23,2,340
22,24,2,364
22,25,2,339
22,26,2,365
22,27,2,338
22,28,2,366
22,29,2,337
22,30,2,367
22,31,2,336
22,32,2,368
22,33,2,335
22,34,2,369
22,35,2,334
22,36,2,370
22,37,2,333
22,38,2,371
22,39,2,332
22,40,2,372
22,41,2,331
22,42,2,373
22,43,2,330
22,44,2,374
22,45,2,329
22,46,2,375
22,47,2,328
22,48,2,376
22,49,2,327
22,50,2,377
22,51,2,326
22,52,2,378
22,53,2,325
22,54,2,379
22,55,2,324
22,56,2,380
22,57,2,323
22,58,2,381
22,59,2,322
22,60,2,382
22,61,2,321
22,62,2,383
22,63,2,320
22,64,2,256
22,65,2,319
22,66,2,257
22,67,2,318
22,68,2,258
22,69,2,317
22,70,2,259
22,71,2,316
22,72,2,260
22,73,2,315
22,74,2,261
22,75,2,314
22,76,2,262
22,77,2,313
22,78,2,263
22,79,2,312
22,80,2,264
22,81,2,311
22,82,2,265
22,83,2,310
22,84,2,266
22,85,2,309
22,86,2,267
22,87,2,308
22,88,2,268
22,89,2,307
22,90,2,269
22,91,2,306
22,92,2,270
22,93,2,305
22,94,2,271
22,95,2,304
22,96,2,272
22,97,2,303
22,98,2,273
22,99,2,302
22,100,2,274
22,101,2,301
22,102,2,275
22,103,2,300
22,104,2,276
