strip,hrsPin,iEta,vfatId,vfatCh
0,7,8,0,0
1,9,8,0,2
2,13,8,0,4
3,15,8,0,6
4,17,8,0,8
5,19,8,0,10
6,21,8,0,12
7,23,8,0,14
8,25,8,0,16
9,27,8,0,18
10,29,8,0,20
11,31,8,0,22
12,35,8,0,24
13,37,8,0,26
14,39,8,0,28
15,41,8,0,30
16,43,8,0,32
17,45,8,0,34
18,47,8,0,36
19,49,8,0,38
20,51,8,0,40
21,53,8,0,42
22,57,8,0,44
23,59,8,0,46
24,61,8,0,48
25,63,8,0,50
26,65,8,0,52
27,67,8,0,54
28,69,8,0,56
29,71,8,0,58
30,73,8,0,60
31,75,8,0,62
32,79,8,0,64
33,81,8,0,66
34,83,8,0,68
35,85,8,0,70
36,87,8,0,72
37,89,8,0,74
38,91,8,0,76
39,93,8,0,78
40,95,8,0,80
41,97,8,0,82
42,101,8,0,84
43,103,8,0,86
44,105,8,0,88
45,107,8,0,90
46,109,8,0,92
47,111,8,0,94
48,113,8,0,96
49,115,8,0,98
50,117,8,0,100
51,119,8,0,102
52,123,8,0,104
53,125,8,0,106
54,127,8,0,108
55,129,8,0,110
56,131,8,0,112
57,133,8,0,114
58,135,8,0,116
59,137,8,0,118
60,139,8,0,120
61,141,8,0,122
62,145,8,0,124
63,147,8,0,126
0,7,8,0,0
1,9,8,0,2
2,13,8,0,4
3,15,8,0,6
4,17,8,0,8
5,19,8,0,10
6,21,8,0,12
7,23,8,0,14
8,25,8,0,16
9,27,8,0,18
10,29,8,0,20
11,31,8,0,22
12,35,8,0,24
13,37,8,0,26
14,39,8,0,28
15,41,8,0,30
16,43,8,0,32
17,45,8,0,34
18,47,8,0,36
19,49,8,0,38
20,51,8,0,40
21,53,8,0,42
22,57,8,0,44
23,59,8,0,46
24,61,8,0,48
25,63,8,0,50
26,65,8,0,52
27,67,8,0,54
28,69,8,0,56
29,71,8,0,58
30,73,8,0,60
31,75,8,0,62
32,79,8,0,64
33,81,8,0,66
34,83,8,0,68
35,85,8,0,70
36,87,8,0,72
37,89,8,0,74
38,91,8,0,76
39,93,8,0,78
40,95,8,0,80
41,97,8,0,82
42,101,8,0,84
43,103,8,0,86
44,105,8,0,88
45,107,8,0,90
46,109,8,0,92
47,111,8,0,94
48,113,8,0,96
49,115,8,0,98
50,117,8,0,100
51,119,8,0,102
52,123,8,0,104
53,125,8,0,106
54,127,8,0,108
55,129,8,0,110
56,131,8,0,112
57,133,8,0,114
58,135,8,0,116
59,137,8,0,118
60,139,8,0,120
61,141,8,0,122
62,145,8,0,124
63,147,8,0,126
127,8,8,0,1
126,10,8,0,3
125,14,8,0,5
124,16,8,0,7
123,18,8,0,9
122,20,8,0,11
121,22,8,0,13
120,24,8,0,15
119,26,8,0,17
118,28,8,0,19
117,30,8,0,21
116,32,8,0,23
115,36,8,0,25
114,38,8,0,27
113,40,8,0,29
112,42,8,0,31
111,44,8,0,33
110,46,8,0,35
109,48,8,0,37
108,50,8,0,39
107,52,8,0,41
106,54,8,0,43
105,58,8,0,45
104,60,8,0,47
103,62,8,0,49
102,64,8,0,51
101,66,8,0,53
100,68,8,0,55
99,70,8,0,57
98,72,8,0,59
97,74,8,0,61
96,76,8,0,63
95,80,8,0,65
94,82,8,0,67
93,84,8,0,69
92,86,8,0,71
91,88,8,0,73
90,90,8,0,75
89,92,8,0,77
88,94,8,0,79
87,96,8,0,81
86,98,8,0,83
85,102,8,0,85
84,104,8,0,87
83,106,8,0,89
82,108,8,0,91
81,110,8,0,93
80,112,8,0,95
79,114,8,0,97
78,116,8,0,99
77,118,8,0,101
76,120,8,0,103
75,124,8,0,105
74,126,8,0,107
73,128,8,0,109
72,130,8,0,111
71,132,8,0,113
70,134,8,0,115
69,136,8,0,117
68,138,8,0,119
67,140,8,0,121
66,142,8,0,123
65,146,8,0,125
64,148,8,0,127
127,8,8,0,1
126,10,8,0,3
125,14,8,0,5
124,16,8,0,7
123,18,8,0,9
122,20,8,0,11
121,22,8,0,13
120,24,8,0,15
119,26,8,0,17
118,28,8,0,19
117,30,8,0,21
116,32,8,0,23
115,36,8,0,25
114,38,8,0,27
113,40,8,0,29
112,42,8,0,31
111,44,8,0,33
110,46,8,0,35
109,48,8,0,37
108,50,8,0,39
107,52,8,0,41
106,54,8,0,43
105,58,8,0,45
104,60,8,0,47
103,62,8,0,49
102,64,8,0,51
101,66,8,0,53
100,68,8,0,55
99,70,8,0,57
98,72,8,0,59
97,74,8,0,61
96,76,8,0,63
95,80,8,0,65
94,82,8,0,67
93,84,8,0,69
92,86,8,0,71
91,88,8,0,73
90,90,8,0,75
89,92,8,0,77
88,94,8,0,79
87,96,8,0,81
86,98,8,0,83
85,102,8,0,85
84,104,8,0,87
83,106,8,0,89
82,108,8,0,91
81,110,8,0,93
80,112,8,0,95
79,114,8,0,97
78,116,8,0,99
77,118,8,0,101
76,120,8,0,103
75,124,8,0,105
74,126,8,0,107
73,128,8,0,109
72,130,8,0,111
71,132,8,0,113
70,134,8,0,115
69,136,8,0,117
68,138,8,0,119
67,140,8,0,121
66,142,8,0,123
65,146,8,0,125
64,148,8,0,127
223,7,8,8,0
222,9,8,8,2
221,13,8,8,4
220,15,8,8,6
219,17,8,8,8
218,19,8,8,10
217,21,8,8,12
216,23,8,8,14
215,25,8,8,16
214,27,8,8,18
213,29,8,8,20
212,31,8,8,22
211,35,8,8,24
210,37,8,8,26
209,39,8,8,28
208,41,8,8,30
207,43,8,8,32
206,45,8,8,34
205,47,8,8,36
204,49,8,8,38
203,51,8,8,40
202,53,8,8,42
201,57,8,8,44
200,59,8,8,46
199,61,8,8,48
198,63,8,8,50
197,65,8,8,52
196,67,8,8,54
195,69,8,8,56
194,71,8,8,58
193,73,8,8,60
192,75,8,8,62
191,79,8,8,64
190,81,8,8,66
189,83,8,8,68
188,85,8,8,70
187,87,8,8,72
186,89,8,8,74
185,91,8,8,76
184,93,8,8,78
183,95,8,8,80
182,97,8,8,82
181,101,8,8,84
180,103,8,8,86
179,105,8,8,88
178,107,8,8,90
177,109,8,8,92
176,111,8,8,94
175,113,8,8,96
174,115,8,8,98
173,117,8,8,100
172,119,8,8,102
171,123,8,8,104
170,125,8,8,106
169,127,8,8,108
168,129,8,8,110
167,131,8,8,112
166,133,8,8,114
165,135,8,8,116
164,137,8,8,118
163,139,8,8,120
162,141,8,8,122
161,145,8,8,124
160,147,8,8,126
223,7,8,8,0
222,9,8,8,2
221,13,8,8,4
220,15,8,8,6
