strip,vfatCh,vfatId,iEta
129,2,8,1
130,0,8,1
131,3,8,1
132,1,8,1
133,6,8,1
134,4,8,1
135,7,8,1
136,5,8,1
137,10,8,1
138,8,8,1
139,11,8,1
140,9,8,1
141,14,8,1
142,12,8,1
143,15,8,1
144,13,8,1
145,18,8,1
146,16,8,1
147,19,8,1
148,17,8,1
149,22,8,1
150,20,8,1
151,23,8,1
152,21,8,1
153,26,8,1
154,24,8,1
155,27,8,1
156,25,8,1
157,31,8,1
158,28,8,1
159,30,8,1
160,29,8,1
161,34,8,1
162,32,8,1
163,35,8,1
164,33,8,1
165,38,8,1
166,36,8,1
167,39,8,1
168,37,8,1
169,42,8,1
170,40,8,1
171,43,8,1
172,41,8,1
173,46,8,1
174,44,8,1
175,47,8,1
176,45,8,1
177,50,8,1
178,48,8,1
179,51,8,1
180,49,8,1
181,54,8,1
182,52,8,1
183,55,8,1
184,53,8,1
185,58,8,1
186,56,8,1
187,59,8,1
188,57,8,1
189,62,8,1
190,60,8,1
191,63,8,1
192,61,8,1
193,66,8,1
194,64,8,1
195,67,8,1
196,64,8,1
197,70,8,1
198,68,8,1
199,71,8,1
200,69,8,1
201,74,8,1
202,72,8,1
203,75,8,1
204,73,8,1
205,78,8,1
206,76,8,1
207,79,8,1
208,77,8,1
209,82,8,1
210,80,8,1
211,83,8,1
212,81,8,1
213,86,8,1
214,84,8,1
215,87,8,1
216,85,8,1
217,90,8,1
218,88,8,1
219,91,8,1
220,89,8,1
221,94,8,1
222,92,8,1
223,95,8,1
224,93,8,1
225,98,8,1
226,96,8,1
227,99,8,1
228,97,8,1
229,102,8,1
230,100,8,1
231,103,8,1
232,101,8,1
233,106,8,1
234,104,8,1
235,107,8,1
236,105,8,1
237,111,8,1
238,108,8,1
239,110,8,1
240,109,8,1
241,115,8,1
242,112,8,1
243,114,8,1
244,113,8,1
245,119,8,1
246,116,8,1
247,118,8,1
248,117,8,1
249,123,8,1
250,120,8,1
251,122,8,1
252,121,8,1
253,127,8,1
254,124,8,1
255,126,8,1
256,125,8,1
257,2,4,1
258,0,4,1
259,3,4,1
260,1,4,1
261,6,4,1
262,4,4,1
263,7,4,1
264,5,4,1
265,10,4,1
266,8,4,1
267,11,4,1
268,9,4,1
269,14,4,1
270,12,4,1
271,15,4,1
272,13,4,1
273,18,4,1
274,16,4,1
275,19,4,1
276,17,4,1
277,22,4,1
278,20,4,1
279,23,4,1
280,21,4,1
281,26,4,1
282,24,4,1
283,27,4,1
284,25,4,1
285,31,4,1
286,28,4,1
287,30,4,1
288,29,4,1
289,34,4,1
290,32,4,1
291,35,4,1
292,33,4,1
293,38,4,1
294,36,4,1
295,39,4,1
296,37,4,1
297,42,4,1
298,40,4,1
299,43,4,1
300,41,4,1
301,46,4,1
302,44,4,1
303,47,4,1
304,45,4,1
305,50,4,1
306,48,4,1
307,51,4,1
308,49,4,1
309,54,4,1
310,52,4,1
311,55,4,1
312,53,4,1
313,58,4,1
314,56,4,1
315,59,4,1
316,57,4,1
317,62,4,1
318,60,4,1
319,63,4,1
320,61,4,1
321,66,4,1
322,64,4,1
323,67,4,1
324,64,4,1
325,70,4,1
326,68,4,1
327,71,4,1
328,69,4,1
329,74,4,1
330,72,4,1
331,75,4,1
332,73,4,1
333,78,4,1
334,76,4,1
335,79,4,1
336,77,4,1
337,82,4,1
338,80,4,1
339,83,4,1
340,81,4,1
341,86,4,1
342,84,4,1
343,87,4,1
344,85,4,1
345,90,4,1
346,88,4,1
347,91,4,1
348,89,4,1
349,94,4,1
350,92,4,1
351,95,4,1
352,93,4,1
353,98,4,1
354,96,4,1
355,99,4,1
356,97,4,1
357,102,4,1
358,100,4,1
359,103,4,1
360,101,4,1
361,106,4,1
362,104,4,1
363,107,4,1
364,105,4,1
365,111,4,1
366,108,4,1
367,110,4,1
368,109,4,1
369,115,4,1
370,112,4,1
371,114,4,1
372,113,4,1
373,119,4,1
374,116,4,1
375,118,4,1
376,117,4,1
377,123,4,1
378,120,4,1
379,122,4,1
380,121,4,1
381,127,4,1
382,124,4,1
383,126,4,1
384,125,4,1
