slot,oh,vfat,chamber
0,0,0,4
0,0,1,4
0,0,2,4
0,0,3,4
0,0,4,4
0,0,5,4
0,0,6,4
0,0,7,4
0,0,8,4
0,0,9,4
0,0,10,4
0,0,11,4
0,2,9,0
0,2,11,0
0,2,10,0
0,2,8,0
0,2,6,0
0,2,4,0
0,2,2,1
0,2,0,1
0,2,1,1
0,2,3,1
0,2,5,1
0,2,7,1
0,3,9,2
0,3,11,2
0,3,10,2
0,3,8,6
0,3,6,2
0,3,4,6
0,3,2,3
0,3,0,3
0,3,1,3
0,3,3,3
0,3,5,3
0,3,7,3
1,0,0,5
1,0,1,5
1,0,2,5
1,0,3,5
1,0,4,5
1,0,5,5
1,0,6,5
1,0,7,5
1,0,8,5
1,0,9,5
1,0,10,5
1,0,11,5
1,0,12,5
1,0,13,5
1,0,14,5
1,0,15,5
1,0,16,5
1,0,17,5
1,0,18,5
1,0,19,5
1,0,20,5
1,0,21,5
1,0,22,5
1,0,23,5
