oh,vfatId,vfatCh,iEta,strip,chamber
2,0,0,3,147,2
2,0,1,3,146,2
2,0,2,3,148,2
2,0,3,3,149,2
2,0,4,3,145,2
2,0,5,3,144,2
2,0,6,3,150,2
2,0,7,3,151,2
2,0,8,3,143,2
2,0,9,3,142,2
2,0,10,3,152,2
2,0,11,3,153,2
2,0,12,3,141,2
2,0,13,3,140,2
2,0,14,3,154,2
2,0,15,3,155,2
2,0,16,3,139,2
2,0,17,3,138,2
2,0,18,3,156,2
2,0,19,3,157,2
2,0,20,3,137,2
2,0,21,3,136,2
2,0,22,3,158,2
2,0,23,3,159,2
2,0,24,3,135,2
2,0,25,3,134,2
2,0,26,3,160,2
2,0,27,3,161,2
2,0,28,3,133,2
2,0,29,3,132,2
2,0,30,3,163,2
2,0,31,3,162,2
2,0,32,3,131,2
2,0,33,3,130,2
2,0,34,3,164,2
2,0,35,3,165,2
2,0,36,3,129,2
2,0,37,3,128,2
2,0,38,3,166,2
2,0,39,3,167,2
2,0,40,3,127,2
2,0,41,3,126,2
2,0,42,3,168,2
2,0,43,3,169,2
2,0,44,3,125,2
2,0,45,3,124,2
2,0,46,3,170,2
2,0,47,3,171,2
2,0,48,3,123,2
2,0,49,0,49,2
2,0,50,3,172,2
2,0,51,3,173,2
2,0,52,0,52,2
2,0,53,0,53,2
2,0,54,3,174,2
2,0,55,3,175,2
2,0,56,0,56,2
2,0,57,0,57,2
2,0,58,3,176,2
2,0,59,3,177,2
2,0,60,0,60,2
2,0,61,0,61,2
2,0,62,3,178,2
2,0,63,3,179,2
2,0,64,0,64,2
2,0,65,0,65,2
2,0,66,3,180,2
2,0,67,3,181,2
2,0,68,0,68,2
2,0,69,0,69,2
2,0,70,3,182,2
2,0,71,3,183,2
2,0,72,0,72,2
2,0,73,0,73,2
2,0,74,3,184,2
2,0,75,3,185,2
2,0,76,0,76,2
2,0,77,3,236,2
2,0,78,3,186,2
2,0,79,3,187,2
2,0,80,3,235,2
2,0,81,3,234,2
2,0,82,3,188,2
2,0,83,3,189,2
2,0,84,3,233,2
2,0,85,3,232,2
2,0,86,3,190,2
2,0,87,3,191,2
2,0,88,3,231,2
2,0,89,3,230,2
2,0,90,3,192,2
2,0,91,3,193,2
2,0,92,3,229,2
2,0,93,3,228,2
2,0,94,3,194,2
2,0,95,3,195,2
2,0,96,3,227,2
2,0,97,3,226,2
2,0,98,3,196,2
2,0,99,3,197,2
2,0,100,3,225,2
2,0,101,3,224,2
2,0,102,3,198,2
2,0,103,3,199,2
2,0,104,3,223,2
2,0,105,3,222,2
2,0,106,3,200,2
2,0,107,3,201,2
2,0,108,3,221,2
2,0,109,3,220,2
2,0,110,3,203,2
2,0,111,3,202,2
2,0,112,3,219,2
2,0,113,3,218,2
2,0,114,3,205,2
2,0,115,3,204,2
2,0,116,3,217,2
2,0,117,3,216,2
2,0,118,3,207,2
2,0,119,3,206,2
2,0,120,3,215,2
2,0,121,3,214,2
2,0,122,3,209,2
2,0,123,3,208,2
2,0,124,3,213,2
2,0,125,3,212,2
2,0,126,3,211,2
2,0,127,3,210,2
2,1,0,3,262,2
2,1,1,3,261,2
2,1,2,3,263,2
2,1,3,3,264,2
2,1,4,3,260,2
2,1,5,3,259,2
2,1,6,3,265,2
2,1,7,3,266,2
2,1,8,3,258,2
2,1,9,3,257,2
2,1,10,3,267,2
2,1,11,3,268,2
2,1,12,3,256,2
2,1,13,3,255,2
2,1,14,3,269,2
2,1,15,3,270,2
