strip;pos;panPin;channel
1;X1;65;16
2;X1;63;24
3;X1;61;32
4;X1;59;40
5;X1;57;29
6;X1;55;21
7;X1;53;13
8;X1;51;5
9;X1;49;3
10;X1;47;11
11;X1;45;19
12;X1;43;27
13;X1;41;35
14;X1;39;43
15;X1;37;51
16;X1;35;59
17;X1;33;67
18;X1;31;75
19;X1;29;83
20;X1;27;91
21;X1;25;99
22;X1;23;107
23;X1;21;115
24;X1;19;123
25;X1;17;125
26;X1;15;117
27;X1;13;109
28;X1;11;101
29;X1;9;93
30;X1;7;100
31;X1;5;108
32;X1;3;116
33;X1;2;124
34;X1;4;112
35;X1;6;104
36;X1;8;96
37;X1;10;97
38;X1;12;105
39;X1;14;113
40;X1;16;121
41;X1;18;127
42;X1;20;119
43;X1;22;111
44;X1;24;103
45;X1;26;95
46;X1;28;87
47;X1;30;79
48;X1;32;71
49;X1;34;63
50;X1;36;55
51;X1;38;47
52;X1;40;39
53;X1;42;31
54;X1;44;23
55;X1;46;15
56;X1;48;7
57;X1;50;1
58;X1;52;9
59;X1;54;17
60;X1;56;25
61;X1;58;33
62;X1;60;36
63;X1;62;28
64;X1;64;20
65;X1;66;128
66;X1;68;126
67;X1;70;118
68;X1;72;110
69;X1;74;102
70;X1;76;94
71;X1;78;86
72;X1;80;78
73;X1;82;70
74;X1;84;68
75;X1;86;76
76;X1;88;84
77;X1;90;92
78;X1;92;85
79;X1;94;77
80;X1;96;69
81;X1;98;61
82;X1;100;53
83;X1;102;45
84;X1;104;37
85;X1;106;48
86;X1;108;56
87;X1;110;64
88;X1;112;58
89;X1;114;50
90;X1;116;42
91;X1;118;34
92;X1;120;26
93;X1;122;18
94;X1;124;10
95;X1;126;2
96;X1;128;8
97;X1;129;4
98;X1;127;12
99;X1;125;6
100;X1;123;14
101;X1;121;22
102;X1;119;30
103;X1;117;38
104;X1;115;46
105;X1;113;54
106;X1;111;62
107;X1;109;60
108;X1;107;52
109;X1;105;44
110;X1;103;41
111;X1;101;49
112;X1;99;57
113;X1;97;65
114;X1;95;73
115;X1;93;81
116;X1;91;89
117;X1;89;88
118;X1;87;80
119;X1;85;72
120;X1;83;66
121;X1;81;74
122;X1;79;82
123;X2;51;5
124;X2;49;3
125;X2;47;11
126;X2;45;19
127;X2;43;27
128;X2;41;35
129;X2;39;43
130;X2;37;51
131;X2;35;59
132;X2;33;67
133;X2;31;75
134;X2;29;83
135;X2;27;91
136;X2;25;99
137;X2;23;107
138;X2;21;115
139;X2;19;123
140;X2;17;125
141;X2;15;117
142;X2;13;109
143;X2;11;101
144;X2;9;93
145;X2;7;100
146;X2;5;108
147;X2;3;116
148;X2;2;124
149;X2;4;112
150;X2;6;104
151;X2;8;96
152;X2;10;97
153;X2;12;105
154;X2;14;113
155;X2;16;121
156;X2;18;127
157;X2;20;119
158;X2;22;111
159;X2;24;103
160;X2;26;95
161;X2;28;87
162;X2;30;79
163;X2;32;71
164;X2;34;63
165;X2;36;55
166;X2;38;47
167;X2;40;39
168;X2;42;31
169;X2;44;23
170;X2;46;15
171;X2;48;7
172;X2;50;1
173;X2;52;9
174;X2;54;17
175;X2;56;25
176;X2;58;33
177;X2;60;36
178;X2;62;28
179;X2;64;20
180;X2;66;128
181;X2;68;126
182;X2;70;118
183;X2;72;110
184;X2;74;102
185;X2;76;94
186;X2;78;86
187;X2;80;78
188;X2;82;70
189;X2;84;68
190;X2;86;76
191;X2;88;84
192;X2;90;92
193;X2;92;85
194;X2;94;77
195;X2;96;69
196;X2;98;61
197;X2;100;53
198;X2;102;45
199;X2;104;37
200;X2;106;48
201;X2;108;56
202;X2;110;64
203;X2;112;58
204;X2;114;50
205;X2;116;42
206;X2;118;34
207;X2;120;26
208;X2;122;18
209;X2;124;10
210;X2;126;2
211;X2;128;8
212;X2;129;4
213;X2;127;12
214;X2;125;6
215;X2;123;14
216;X2;121;22
217;X2;119;30
218;X2;117;38
219;X2;115;46
220;X2;113;54
221;X2;111;62
222;X2;109;60
223;X2;107;52
224;X2;105;44
225;X2;103;41
226;X2;101;49
227;X2;99;57
228;X2;97;65
229;X2;95;73
230;X2;93;81
231;X2;91;89
232;X2;89;88
233;X2;87;80
234;X2;85;72
235;X2;83;66
236;X2;81;74
237;X3;53;13
