strip;pos;panPin;channel
1;X1;65;61
2;X1;63;60
3;X1;61;57
4;X1;59;56
5;X1;57;53
6;X1;55;52
7;X1;53;49
8;X1;51;48
9;X1;49;45
10;X1;47;44
11;X1;45;41
12;X1;43;40
13;X1;41;37
14;X1;39;36
15;X1;37;33
16;X1;35;32
17;X1;33;29
18;X1;31;28
19;X1;29;25
20;X1;27;24
21;X1;25;21
22;X1;23;20
23;X1;21;17
24;X1;19;16
25;X1;17;13
26;X1;15;12
27;X1;13;9
28;X1;11;8
29;X1;9;5
30;X1;7;4
31;X1;5;1
32;X1;3;0
33;X1;2;2
34;X1;4;3
35;X1;6;6
36;X1;8;7
37;X1;10;10
38;X1;12;11
39;X1;14;14
40;X1;16;15
41;X1;18;18
42;X1;20;19
43;X1;22;22
44;X1;24;23
45;X1;26;26
46;X1;28;27
47;X1;30;31
48;X1;32;30
49;X1;34;34
50;X1;36;35
51;X1;38;38
52;X1;40;39
53;X1;42;42
54;X1;44;43
55;X1;46;46
56;X1;48;47
57;X1;50;50
58;X1;52;51
59;X1;54;54
60;X1;56;55
61;X1;58;58
62;X1;60;59
63;X1;62;62
64;X1;64;63
65;X1;66;66
66;X1;68;67
67;X1;70;70
68;X1;72;71
69;X1;74;74
70;X1;76;75
71;X1;78;78
72;X1;80;79
73;X1;82;82
74;X1;84;83
75;X1;86;86
76;X1;88;87
77;X1;90;90
78;X1;92;91
79;X1;94;94
80;X1;96;95
81;X1;98;98
82;X1;100;99
83;X1;102;102
84;X1;104;103
85;X1;106;106
86;X1;108;107
87;X1;110;111
88;X1;112;110
89;X1;114;115
90;X1;116;114
91;X1;118;119
92;X1;120;118
93;X1;122;123
94;X1;124;122
95;X1;126;127
96;X1;128;126
97;X1;129;125
98;X1;127;124
99;X1;125;121
100;X1;123;120
101;X1;121;117
102;X1;119;116
103;X1;117;113
104;X1;115;112
105;X1;113;109
106;X1;111;108
107;X1;109;105
108;X1;107;104
109;X1;105;101
110;X1;103;100
111;X1;101;97
112;X1;99;96
113;X1;97;93
114;X1;95;92
115;X1;93;89
116;X1;91;88
117;X1;89;85
118;X1;87;84
119;X1;85;81
120;X1;83;80
121;X1;81;77
122;X1;79;76
123;X2;51;48
124;X2;49;45
125;X2;47;44
126;X2;45;41
127;X2;43;40
128;X2;41;37
129;X2;39;36
130;X2;37;33
131;X2;35;32
132;X2;33;29
133;X2;31;28
134;X2;29;25
135;X2;27;24
136;X2;25;21
137;X2;23;20
138;X2;21;17
139;X2;19;16
140;X2;17;13
141;X2;15;12
142;X2;13;9
143;X2;11;8
144;X2;9;5
145;X2;7;4
146;X2;5;1
147;X2;3;0
148;X2;2;2
149;X2;4;3
150;X2;6;6
151;X2;8;7
152;X2;10;10
153;X2;12;11
154;X2;14;14
155;X2;16;15
156;X2;18;18
157;X2;20;19
158;X2;22;22
159;X2;24;23
160;X2;26;26
161;X2;28;27
162;X2;30;31
163;X2;32;30
164;X2;34;34
165;X2;36;35
166;X2;38;38
167;X2;40;39
168;X2;42;42
169;X2;44;43
170;X2;46;46
171;X2;48;47
172;X2;50;50
173;X2;52;51
174;X2;54;54
175;X2;56;55
176;X2;58;58
177;X2;60;59
178;X2;62;62
179;X2;64;63
180;X2;66;66
181;X2;68;67
182;X2;70;70
183;X2;72;71
