strip;pos;panPin
1;X1;65
2;X1;63
3;X1;61
4;X1;59
5;X1;57
6;X1;55
7;X1;53
8;X1;51
9;X1;49
10;X1;47
11;X1;45
12;X1;43
13;X1;41
14;X1;39
15;X1;37
16;X1;35
17;X1;33
18;X1;31
19;X1;29
20;X1;27
21;X1;25
22;X1;23
23;X1;21
24;X1;19
25;X1;17
26;X1;15
27;X1;13
28;X1;11
29;X1;9
30;X1;7
31;X1;5
32;X1;3
33;X1;2
34;X1;4
35;X1;6
36;X1;8
37;X1;10
38;X1;12
39;X1;14
40;X1;16
41;X1;18
42;X1;20
43;X1;22
44;X1;24
45;X1;26
46;X1;28
47;X1;30
48;X1;32
49;X1;34
50;X1;36
51;X1;38
52;X1;40
53;X1;42
54;X1;44
55;X1;46
56;X1;48
57;X1;50
58;X1;52
59;X1;54
60;X1;56
61;X1;58
62;X1;60
63;X1;62
64;X1;64
65;X1;66
66;X1;68
67;X1;70
68;X1;72
69;X1;74
70;X1;76
71;X1;78
72;X1;80
73;X1;82
74;X1;84
75;X1;86
76;X1;88
77;X1;90
78;X1;92
79;X1;94
80;X1;96
81;X1;98
82;X1;100
83;X1;102
84;X1;104
85;X1;106
86;X1;108
87;X1;110
88;X1;112
89;X1;114
90;X1;116
91;X1;118
92;X1;120
93;X1;122
94;X1;124
95;X1;126
96;X1;128
97;X1;129
98;X1;127
99;X1;125
100;X1;123
101;X1;121
102;X1;119
103;X1;117
104;X1;115
105;X1;113
106;X1;111
107;X1;109
108;X1;107
109;X1;105
110;X1;103
111;X1;101
112;X1;99
113;X1;97
114;X1;95
115;X1;93
116;X1;91
117;X1;89
118;X1;87
119;X1;85
120;X1;83
121;X1;81
122;X1;79
123;X2;51
124;X2;49
125;X2;47
126;X2;45
127;X2;43
128;X2;41
129;X2;39
130;X2;37
131;X2;35
132;X2;33
133;X2;31
134;X2;29
135;X2;27
136;X2;25
137;X2;23
138;X2;21
139;X2;19
140;X2;17
141;X2;15
142;X2;13
143;X2;11
144;X2;9
145;X2;7
146;X2;5
147;X2;3
148;X2;2
149;X2;4
150;X2;6
151;X2;8
152;X2;10
153;X2;12
154;X2;14
155;X2;16
156;X2;18
157;X2;20
158;X2;22
159;X2;24
160;X2;26
161;X2;28
162;X2;30
163;X2;32
164;X2;34
165;X2;36
166;X2;38
167;X2;40
168;X2;42
169;X2;44
170;X2;46
171;X2;48
172;X2;50
173;X2;52
174;X2;54
175;X2;56
176;X2;58
177;X2;60
178;X2;62
179;X2;64
180;X2;66
181;X2;68
182;X2;70
183;X2;72
184;X2;74
185;X2;76
186;X2;78
187;X2;80
188;X2;82
189;X2;84
190;X2;86
191;X2;88
192;X2;90
193;X2;92
194;X2;94
195;X2;96
196;X2;98
197;X2;100
198;X2;102
199;X2;104
200;X2;106
201;X2;108
202;X2;110
203;X2;112
204;X2;114
205;X2;116
